"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 02 09:07:50 GMT 2021","Tue Mar 02 09:07:50 GMT 2021","11","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__get_recipient_4","It returns Mehrere Empfänger if multiple recipients."
"passed","Tue Mar 02 09:07:37 GMT 2021","Tue Mar 02 09:07:38 GMT 2021","537","src.sw.allotmentclub.browser.tests","test_account","","","","test_SEPASammlerUpdateView_1","Testing SEPASammler Energieabschlag 1."
"skipped","Tue Mar 02 09:08:08 GMT 2021","Tue Mar 02 09:08:08 GMT 2021","0","src.sw.allotmentclub.tests","test_sendmail_delivery","","","","test_abort_w_TPC_does_not_raise_ValueError",""
"passed","Tue Mar 02 09:07:48 GMT 2021","Tue Mar 02 09:07:49 GMT 2021","492","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__MailPreviewView_4","It renders attachments to the message."
"passed","Tue Mar 02 09:08:01 GMT 2021","Tue Mar 02 09:08:02 GMT 2021","578","src.sw.allotmentclub.browser.tests","test_member","","","","test_mv_entrance_list_view",""
"passed","Tue Mar 02 09:07:45 GMT 2021","Tue Mar 02 09:07:45 GMT 2021","502","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__MailPrintView_1","It only generates pdfs for recipients without email."
"passed","Tue Mar 02 09:07:25 GMT 2021","Tue Mar 02 09:07:25 GMT 2021","160","src.sw.allotmentclub.alembic.versions","re_21_add_tap_water_information_708df911eb9e","","","","src/sw/allotmentclub/alembic/versions/re_21_add_tap_water_information_708df911eb9e.py",""
"passed","Tue Mar 02 09:07:34 GMT 2021","Tue Mar 02 09:07:35 GMT 2021","517","src.sw.allotmentclub.browser.tests","test_account","","","","test_SplitBookingView_1","It displays a form with one input field for the split value."
"passed","Tue Mar 02 09:07:27 GMT 2021","Tue Mar 02 09:07:27 GMT 2021","246","src.sw.allotmentclub.browser","keylist","","","","keylist.py",""
"passed","Tue Mar 02 09:07:21 GMT 2021","Tue Mar 02 09:07:21 GMT 2021","106","src.sw.allotmentclub.alembic.versions","add_accounting_year_to_inbound_messages_ff18c87afd8e","","","","src/sw/allotmentclub/alembic/versions/add_accounting_year_to_inbound_messages_ff18c87afd8e.py",""
"passed","Tue Mar 02 09:07:24 GMT 2021","Tue Mar 02 09:07:24 GMT 2021","98","src.sw.allotmentclub.alembic.versions","add_sale_history_c3c978348cbf","","","","src/sw/allotmentclub/alembic/versions/add_sale_history_c3c978348cbf.py",""
"passed","Tue Mar 02 09:07:24 GMT 2021","Tue Mar 02 09:07:24 GMT 2021","106","src.sw.allotmentclub.alembic.versions","make_protocoll_details_more_robust__e0985a4462d3","","","","src/sw/allotmentclub/alembic/versions/make_protocoll_details_more_robust__e0985a4462d3.py",""
"passed","Tue Mar 02 09:07:22 GMT 2021","Tue Mar 02 09:07:22 GMT 2021","98","src.sw.allotmentclub.alembic.versions","add_leased_status_to_parcel_75aee9c50aa","","","","src/sw/allotmentclub/alembic/versions/add_leased_status_to_parcel_75aee9c50aa.py",""
"passed","Tue Mar 02 09:07:57 GMT 2021","Tue Mar 02 09:07:57 GMT 2021","331","src.sw.allotmentclub.browser.tests","test_protocol","","","","test_displays_list_of_protocols",""
"passed","Tue Mar 02 09:07:43 GMT 2021","Tue Mar 02 09:07:43 GMT 2021","332","src.sw.allotmentclub.browser.tests","test_assignment","","","","test_AssignmentListView_1","It displays list of assignments."
"passed","Tue Mar 02 09:07:26 GMT 2021","Tue Mar 02 09:07:26 GMT 2021","102","src.sw.allotmentclub.alembic.versions","hash_iban_and_bic_1039814b69e3","","","","src/sw/allotmentclub/alembic/versions/hash_iban_and_bic_1039814b69e3.py",""
"passed","Tue Mar 02 09:07:20 GMT 2021","Tue Mar 02 09:07:20 GMT 2021","87","src.sw.allotmentclub","version","","","","version.py",""
"passed","Tue Mar 02 09:07:27 GMT 2021","Tue Mar 02 09:07:27 GMT 2021","108","src.sw.allotmentclub.alembic.versions","switch_signature_from_largebinary_to__88942e83a048","","","","src/sw/allotmentclub/alembic/versions/switch_signature_from_largebinary_to__88942e83a048.py",""
"passed","Tue Mar 02 09:07:42 GMT 2021","Tue Mar 02 09:07:42 GMT 2021","317","src.sw.allotmentclub.browser.tests","test_depot","","","","test_depot_can_be_added_via_json_view",""
"passed","Tue Mar 02 09:08:01 GMT 2021","Tue Mar 02 09:08:01 GMT 2021","1","src.sw.allotmentclub.tests","test_account","","","","test_split_booking_failure_1",""
"passed","Tue Mar 02 09:08:00 GMT 2021","Tue Mar 02 09:08:00 GMT 2021","193","src.sw.allotmentclub.tests","test_account","","","","test_account.py",""
"passed","Tue Mar 02 09:07:24 GMT 2021","Tue Mar 02 09:07:24 GMT 2021","109","src.sw.allotmentclub.alembic.versions","add_protocols_1850226c55dc","","","","src/sw/allotmentclub/alembic/versions/add_protocols_1850226c55dc.py",""
"passed","Tue Mar 02 09:07:23 GMT 2021","Tue Mar 02 09:07:23 GMT 2021","104","src.sw.allotmentclub.alembic.versions","add_organization_phone_and_note_to__92cec0e8663e","","","","src/sw/allotmentclub/alembic/versions/add_organization_phone_and_note_to__92cec0e8663e.py",""
"passed","Tue Mar 02 09:07:23 GMT 2021","Tue Mar 02 09:07:23 GMT 2021","98","src.sw.allotmentclub.alembic.versions","add_new_lastschrift_to_members_30de960848fa","","","","src/sw/allotmentclub/alembic/versions/add_new_lastschrift_to_members_30de960848fa.py",""
"passed","Tue Mar 02 09:07:24 GMT 2021","Tue Mar 02 09:07:25 GMT 2021","99","src.sw.allotmentclub.alembic.versions","add_signature_for_hs_96017ac786bf","","","","src/sw/allotmentclub/alembic/versions/add_signature_for_hs_96017ac786bf.py",""
"passed","Tue Mar 02 09:07:21 GMT 2021","Tue Mar 02 09:07:21 GMT 2021","106","src.sw.allotmentclub.alembic.versions","add_attachments_to_parcels_9af3776b0ea9","","","","src/sw/allotmentclub/alembic/versions/add_attachments_to_parcels_9af3776b0ea9.py",""
"passed","Tue Mar 02 09:07:50 GMT 2021","Tue Mar 02 09:07:50 GMT 2021","9","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__get_recipient_1","It returns lastname and firstname of member of given message id."
"passed","Tue Mar 02 09:07:48 GMT 2021","Tue Mar 02 09:07:48 GMT 2021","440","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__MailPreviewView_3","It does not print address and date if no member assigned to message."
"passed","Tue Mar 02 09:07:24 GMT 2021","Tue Mar 02 09:07:24 GMT 2021","96","src.sw.allotmentclub.alembic.versions","add_sepa_sammelueberweisung_e47f78fad78f","","","","src/sw/allotmentclub/alembic/versions/add_sepa_sammelueberweisung_e47f78fad78f.py",""
"passed","Tue Mar 02 09:08:07 GMT 2021","Tue Mar 02 09:08:08 GMT 2021","1066","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__update_data_5","Creates bookings for advanced pay for the next year."
"passed","Tue Mar 02 09:08:03 GMT 2021","Tue Mar 02 09:08:04 GMT 2021","986","src.sw.allotmentclub.tests","test_electricity","","","","test_meter_has_values_for_each_year",""
"passed","Tue Mar 02 09:07:43 GMT 2021","Tue Mar 02 09:07:43 GMT 2021","120","src.sw.allotmentclub.browser.tests","test_electricity","","","","test_electricity.py",""
"passed","Tue Mar 02 09:08:00 GMT 2021","Tue Mar 02 09:08:00 GMT 2021","97","src.sw.allotmentclub.tests","__init__","","","","src/sw/allotmentclub/tests/__init__.py",""
"passed","Tue Mar 02 09:08:06 GMT 2021","Tue Mar 02 09:08:07 GMT 2021","952","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__update_data_4","Advance pay is zero if under THRESHOLD."
"passed","Tue Mar 02 09:07:31 GMT 2021","Tue Mar 02 09:07:31 GMT 2021","180","src.sw.allotmentclub.browser","depot","","","","depot.py",""
"passed","Tue Mar 02 09:07:22 GMT 2021","Tue Mar 02 09:07:22 GMT 2021","145","src.sw.allotmentclub.alembic.versions","add_direct_debit_marker_to_members_dea40636fb3","","","","src/sw/allotmentclub/alembic/versions/add_direct_debit_marker_to_members_dea40636fb3.py",""
"passed","Tue Mar 02 09:07:50 GMT 2021","Tue Mar 02 09:07:50 GMT 2021","2","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__print_or_sent_date_1","It returns printed date if message is printed."
"passed","Tue Mar 02 09:07:30 GMT 2021","Tue Mar 02 09:07:30 GMT 2021","186","src.sw.allotmentclub.browser.tests","test_account","","","","test_account.py",""
"passed","Tue Mar 02 09:07:24 GMT 2021","Tue Mar 02 09:07:25 GMT 2021","103","src.sw.allotmentclub.alembic.versions","re_12_add_column_to_save_passive__3efd1e093b36","","","","src/sw/allotmentclub/alembic/versions/re_12_add_column_to_save_passive__3efd1e093b36.py",""
"passed","Tue Mar 02 09:07:41 GMT 2021","Tue Mar 02 09:07:42 GMT 2021","1263","src.sw.allotmentclub.browser.tests","test_account","","","","test_BankingAccountListReportView_1",""
"passed","Tue Mar 02 09:07:23 GMT 2021","Tue Mar 02 09:07:23 GMT 2021","97","src.sw.allotmentclub.alembic.versions","add_printed_timestamp_to_mail_433297b9762","","","","src/sw/allotmentclub/alembic/versions/add_printed_timestamp_to_mail_433297b9762.py",""
"passed","Tue Mar 02 09:08:01 GMT 2021","Tue Mar 02 09:08:01 GMT 2021","255","src.sw.allotmentclub.tests","test_account","","","","test_booking_can_be_splitted",""
"passed","Tue Mar 02 09:07:58 GMT 2021","Tue Mar 02 09:07:58 GMT 2021","319","src.sw.allotmentclub.browser.tests","test_protocol","","","","test_protocol_can_be_added_via_json_view",""
"passed","Tue Mar 02 09:08:01 GMT 2021","Tue Mar 02 09:08:01 GMT 2021","218","src.sw.allotmentclub.tests","test_account","","","","test_imported_booking_data",""
"passed","Tue Mar 02 09:07:40 GMT 2021","Tue Mar 02 09:07:40 GMT 2021","129","src.sw.allotmentclub.browser.tests","test_depot","","","","test_depot.py",""
"passed","Tue Mar 02 09:07:59 GMT 2021","Tue Mar 02 09:08:00 GMT 2021","1405","src.sw.allotmentclub.browser.tests","test_map","","","","test_MapDownloadView__call__1","Map can be downloaded."
"passed","Tue Mar 02 09:07:55 GMT 2021","Tue Mar 02 09:07:55 GMT 2021","7","src.sw.allotmentclub.browser.tests","test_postmark_webhook","","","","test__mail__postmark_webhook_3","It creates bounce status when message was bounced."
"passed","Tue Mar 02 09:07:23 GMT 2021","Tue Mar 02 09:07:23 GMT 2021","104","src.sw.allotmentclub.alembic.versions","add_message_attachment_38a169e80b6e","","","","src/sw/allotmentclub/alembic/versions/add_message_attachment_38a169e80b6e.py",""
"passed","Tue Mar 02 09:07:26 GMT 2021","Tue Mar 02 09:07:26 GMT 2021","102","src.sw.allotmentclub.alembic.versions","grundgebuehr_kraft_stromzaehler_63317db97d4","","","","src/sw/allotmentclub/alembic/versions/grundgebuehr_kraft_stromzaehler_63317db97d4.py",""
"passed","Tue Mar 02 09:07:45 GMT 2021","Tue Mar 02 09:07:46 GMT 2021","337","src.sw.allotmentclub.browser.tests","test_assignment","","","","test_AssignmentDeleteAttendeesView_1","It can delete assignment attendees from assignment."
"passed","Tue Mar 02 09:07:26 GMT 2021","Tue Mar 02 09:07:26 GMT 2021","111","src.sw.allotmentclub.alembic.versions","remove_year_from_bookingkind_32b7b30817d6","","","","src/sw/allotmentclub/alembic/versions/remove_year_from_bookingkind_32b7b30817d6.py",""
"passed","Tue Mar 02 09:07:50 GMT 2021","Tue Mar 02 09:07:50 GMT 2021","3","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__print_or_sent_type_3","It returns `Brief und E-Mail` if message is sent for multiple Members."
"passed","Tue Mar 02 09:07:19 GMT 2021","Tue Mar 02 09:07:19 GMT 2021","164","src.sw.allotmentclub","application","","","","application.py",""
"passed","Tue Mar 02 09:08:08 GMT 2021","Tue Mar 02 09:08:08 GMT 2021","2","src.sw.allotmentclub.tests","test_member","","","","test_member_active_passive",""
"passed","Tue Mar 02 09:07:52 GMT 2021","Tue Mar 02 09:07:52 GMT 2021","660","src.sw.allotmentclub.browser.tests","test_navigation","","","","test_no_route_to_access_authority_if_logged_in_as_non_admin",""
"passed","Tue Mar 02 09:07:19 GMT 2021","Tue Mar 02 09:07:19 GMT 2021","103","src.sw.allotmentclub","bulletins","","","","bulletins.py",""
"passed","Tue Mar 02 09:08:08 GMT 2021","Tue Mar 02 09:08:08 GMT 2021","3","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__price_1","Price is 0 if no EnergyPrice is defined for the year."
