"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 10 12:52:56 GMT 2021","Wed Feb 10 12:52:56 GMT 2021","91","src.sw.allotmentclub.signatures","__init__","","","","src/sw/allotmentclub/signatures/__init__.py",""
"passed","Wed Feb 10 12:52:17 GMT 2021","Wed Feb 10 12:52:17 GMT 2021","109","src.sw.allotmentclub.alembic.versions","add_boolean_flag_for_white_page_to_mail__1755a035e42a","","","","src/sw/allotmentclub/alembic/versions/add_boolean_flag_for_white_page_to_mail__1755a035e42a.py",""
"passed","Wed Feb 10 12:52:24 GMT 2021","Wed Feb 10 12:52:24 GMT 2021","155","src.sw.allotmentclub.browser","home","","","","home.py",""
"passed","Wed Feb 10 12:52:23 GMT 2021","Wed Feb 10 12:52:23 GMT 2021","122","src.sw.allotmentclub.alembic.versions","replace_electric_meter_for_annette__9f65f923772f","","","","src/sw/allotmentclub/alembic/versions/replace_electric_meter_for_annette__9f65f923772f.py",""
"passed","Wed Feb 10 12:52:21 GMT 2021","Wed Feb 10 12:52:22 GMT 2021","214","src.sw.allotmentclub.alembic.versions","re_1_update_member_model_48019c236591","","","","src/sw/allotmentclub/alembic/versions/re_1_update_member_model_48019c236591.py",""
"passed","Wed Feb 10 12:52:55 GMT 2021","Wed Feb 10 12:52:58 GMT 2021","2737","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__MailAssignmentPreview_1","It can send Fehlende Arbeitsstunden."
"passed","Wed Feb 10 12:52:44 GMT 2021","Wed Feb 10 12:52:44 GMT 2021","117","src.sw.allotmentclub.browser.tests","test_auth","","","","test_auth.py",""
"passed","Wed Feb 10 12:52:26 GMT 2021","Wed Feb 10 12:52:27 GMT 2021","110","src.sw.allotmentclub.browser","session","","","","session.py",""
"passed","Wed Feb 10 12:52:24 GMT 2021","Wed Feb 10 12:52:25 GMT 2021","522","src.sw.allotmentclub.browser","mail","","","","mail.py",""
"passed","Wed Feb 10 12:52:40 GMT 2021","Wed Feb 10 12:52:40 GMT 2021","354","src.sw.allotmentclub.browser.tests","test_depot","","","","test_depot_can_be_edited_via_json_view",""
"passed","Wed Feb 10 12:52:36 GMT 2021","Wed Feb 10 12:52:37 GMT 2021","587","src.sw.allotmentclub.browser.tests","test_account","","","","test_SEPASammlerExportView_1","Testing SEPASammler Energieabschlag 1 XML export."
"passed","Wed Feb 10 12:52:23 GMT 2021","Wed Feb 10 12:52:23 GMT 2021","119","src.sw.allotmentclub.alembic.versions","replace_electric_meter_for_dr_helbig__fc8dd9d7a9d7","","","","src/sw/allotmentclub/alembic/versions/replace_electric_meter_for_dr_helbig__fc8dd9d7a9d7.py",""
"passed","Wed Feb 10 12:53:05 GMT 2021","Wed Feb 10 12:53:06 GMT 2021","980","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__update_data_4","Advance pay is zero if under THRESHOLD."
"passed","Wed Feb 10 12:52:43 GMT 2021","Wed Feb 10 12:52:43 GMT 2021","116","src.sw.allotmentclub.browser.tests","test_home","","","","test_home.py",""
"passed","Wed Feb 10 12:52:21 GMT 2021","Wed Feb 10 12:52:21 GMT 2021","111","src.sw.allotmentclub.alembic.versions","re_12_add_column_to_save_passive__3efd1e093b36","","","","src/sw/allotmentclub/alembic/versions/re_12_add_column_to_save_passive__3efd1e093b36.py",""
"passed","Wed Feb 10 12:52:21 GMT 2021","Wed Feb 10 12:52:21 GMT 2021","129","src.sw.allotmentclub.alembic.versions","re_16_add_organization_model_f86ea5808406","","","","src/sw/allotmentclub/alembic/versions/re_16_add_organization_model_f86ea5808406.py",""
"passed","Wed Feb 10 12:52:16 GMT 2021","Wed Feb 10 12:52:17 GMT 2021","266","src.sw.allotmentclub","model","","","","model.py",""
"passed","Wed Feb 10 12:52:36 GMT 2021","Wed Feb 10 12:52:37 GMT 2021","337","src.sw.allotmentclub.browser.tests","test_bulletin","","","","test_BulletinDeleteView_1",""
"passed","Wed Feb 10 12:52:58 GMT 2021","Wed Feb 10 12:52:58 GMT 2021","0","src.sw.allotmentclub.tests","test_account","","","","test_split_booking_failure_5",""
"passed","Wed Feb 10 12:52:18 GMT 2021","Wed Feb 10 12:52:18 GMT 2021","118","src.sw.allotmentclub.alembic.versions","add_comment_and_estimate_value_to__7136a99f680d","","","","src/sw/allotmentclub/alembic/versions/add_comment_and_estimate_value_to__7136a99f680d.py",""
"passed","Wed Feb 10 12:52:24 GMT 2021","Wed Feb 10 12:52:24 GMT 2021","112","src.sw.allotmentclub.alembic.versions","update_hours_of_assignment_attendees_to__39a3b6119fc6","","","","src/sw/allotmentclub/alembic/versions/update_hours_of_assignment_attendees_to__39a3b6119fc6.py",""
"passed","Wed Feb 10 12:52:48 GMT 2021","Wed Feb 10 12:52:48 GMT 2021","634","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__MailPreviewView_2","It prints multiple pdf pages for a `Verein` message."
"passed","Wed Feb 10 12:52:24 GMT 2021","Wed Feb 10 12:52:24 GMT 2021","114","src.sw.allotmentclub.alembic.versions","update_member_chaos_5fe4feac157","","","","src/sw/allotmentclub/alembic/versions/update_member_chaos_5fe4feac157.py",""
"passed","Wed Feb 10 12:52:19 GMT 2021","Wed Feb 10 12:52:19 GMT 2021","103","src.sw.allotmentclub.alembic.versions","add_member_to_bookings_eb7a1761a6d","","","","src/sw/allotmentclub/alembic/versions/add_member_to_bookings_eb7a1761a6d.py",""
"passed","Wed Feb 10 12:52:45 GMT 2021","Wed Feb 10 12:52:45 GMT 2021","259","src.sw.allotmentclub.browser.tests","test_mail","","","","test_mail.py",""
"passed","Wed Feb 10 12:52:18 GMT 2021","Wed Feb 10 12:52:18 GMT 2021","102","src.sw.allotmentclub.alembic.versions","add_charge_and_advance_pay_from__5154afa1d7d6","","","","src/sw/allotmentclub/alembic/versions/add_charge_and_advance_pay_from__5154afa1d7d6.py",""
"passed","Wed Feb 10 12:52:25 GMT 2021","Wed Feb 10 12:52:25 GMT 2021","193","src.sw.allotmentclub.browser","map","","","","map.py",""
"passed","Wed Feb 10 12:52:17 GMT 2021","Wed Feb 10 12:52:18 GMT 2021","134","src.sw.allotmentclub.alembic.versions","add_banking_account_model_28e32b8a26f4","","","","src/sw/allotmentclub/alembic/versions/add_banking_account_model_28e32b8a26f4.py",""
"passed","Wed Feb 10 12:52:15 GMT 2021","Wed Feb 10 12:52:15 GMT 2021","115","src.sw.allotmentclub","base","","","","base.py",""
"passed","Wed Feb 10 12:52:44 GMT 2021","Wed Feb 10 12:52:44 GMT 2021","2","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__print_or_sent_type_2","It returns `Brief` if message is printed."
"passed","Wed Feb 10 12:53:06 GMT 2021","Wed Feb 10 12:53:07 GMT 2021","1125","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__update_data_6","Creates multiple bookings for multiple meters of the same allotment."
"passed","Wed Feb 10 12:52:58 GMT 2021","Wed Feb 10 12:52:59 GMT 2021","300","src.sw.allotmentclub.tests","test_electricity","","","","test_electricity.py",""
"passed","Wed Feb 10 12:52:16 GMT 2021","Wed Feb 10 12:52:17 GMT 2021","94","src.sw.allotmentclub","version","","","","version.py",""
"passed","Wed Feb 10 12:52:20 GMT 2021","Wed Feb 10 12:52:21 GMT 2021","114","src.sw.allotmentclub.alembic.versions","model_changes_to_assignment_in_order_to__db99756d70b","","","","src/sw/allotmentclub/alembic/versions/model_changes_to_assignment_in_order_to__db99756d70b.py",""
"passed","Wed Feb 10 12:52:40 GMT 2021","Wed Feb 10 12:52:41 GMT 2021","369","src.sw.allotmentclub.browser.tests","test_assignment","","","","test_AssignmentListView_1","It displays list of assignments."
"passed","Wed Feb 10 12:52:23 GMT 2021","Wed Feb 10 12:52:23 GMT 2021","446","src.sw.allotmentclub.browser","electricity","","","","electricity.py",""
"passed","Wed Feb 10 12:53:07 GMT 2021","Wed Feb 10 12:53:07 GMT 2021","14","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__fee_3","Fee is 0 no normal_fee."
"passed","Wed Feb 10 12:52:40 GMT 2021","Wed Feb 10 12:52:40 GMT 2021","20","src.sw.allotmentclub.browser.tests","test_assignment","","","","test_assignments_can_have_attendees",""
"passed","Wed Feb 10 12:53:05 GMT 2021","Wed Feb 10 12:53:05 GMT 2021","2","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__update_data_3","Member is updated with owner of meter."
"passed","Wed Feb 10 12:52:17 GMT 2021","Wed Feb 10 12:52:17 GMT 2021","110","src.sw.allotmentclub.alembic.versions","add_banking_accounts_to_booking_kinds_388a201feabf","","","","src/sw/allotmentclub/alembic/versions/add_banking_accounts_to_booking_kinds_388a201feabf.py",""
"passed","Wed Feb 10 12:53:07 GMT 2021","Wed Feb 10 12:53:07 GMT 2021","1","src.sw.allotmentclub.tests","test_member","","","","test_member_active_passive",""
"passed","Wed Feb 10 12:53:04 GMT 2021","Wed Feb 10 12:53:04 GMT 2021","0","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__update_data_1","Leaves EnergyValue as is if already discounted."
"passed","Wed Feb 10 12:52:23 GMT 2021","Wed Feb 10 12:52:23 GMT 2021","105","src.sw.allotmentclub.alembic.versions","set_advance_pay_to_0_if_under_threshold_1654373c7899","","","","src/sw/allotmentclub/alembic/versions/set_advance_pay_to_0_if_under_threshold_1654373c7899.py",""
"passed","Wed Feb 10 12:52:33 GMT 2021","Wed Feb 10 12:52:34 GMT 2021","340","src.sw.allotmentclub.browser.tests","test_auth","","","","test_logout_is_possible",""
"passed","Wed Feb 10 12:52:17 GMT 2021","Wed Feb 10 12:52:17 GMT 2021","106","src.sw.allotmentclub.alembic.versions","add_accounting_year_to_assignments_50035156da61","","","","src/sw/allotmentclub/alembic/versions/add_accounting_year_to_assignments_50035156da61.py",""
"passed","Wed Feb 10 12:52:47 GMT 2021","Wed Feb 10 12:52:47 GMT 2021","624","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__MailPreviewView_1","It generates pdfs for recipients regardless of email."
"passed","Wed Feb 10 12:52:15 GMT 2021","Wed Feb 10 12:52:15 GMT 2021","111","src.sw.allotmentclub","bulletins","","","","bulletins.py",""
"passed","Wed Feb 10 12:52:59 GMT 2021","Wed Feb 10 12:52:59 GMT 2021","560","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__MailSentView_1","It does not sent mail if already sent."
