"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 23 09:06:24 GMT 2021","Sun May 23 09:06:25 GMT 2021","603","src.sw.allotmentclub.browser.tests","test_account","","","","test_SplitBookingView_1","It displays a form with one input field for the split value."
"passed","Sun May 23 09:06:53 GMT 2021","Sun May 23 09:06:53 GMT 2021","186","src.sw.allotmentclub.browser.tests","test_protocol","","","","test_protocol.py",""
"passed","Sun May 23 09:06:11 GMT 2021","Sun May 23 09:06:12 GMT 2021","116","src.sw.allotmentclub.alembic.versions","add_inbound_flag_for_messages_b01e97903b78","","","","src/sw/allotmentclub/alembic/versions/add_inbound_flag_for_messages_b01e97903b78.py",""
"passed","Sun May 23 09:06:54 GMT 2021","Sun May 23 09:06:54 GMT 2021","356","src.sw.allotmentclub.browser.tests","test_member","","","","test_MemberAddView_1","It can add new members via JSON."
"passed","Sun May 23 09:06:12 GMT 2021","Sun May 23 09:06:12 GMT 2021","136","src.sw.allotmentclub.alembic.versions","add_keylist_model_4b98c95b9a56","","","","src/sw/allotmentclub/alembic/versions/add_keylist_model_4b98c95b9a56.py",""
"passed","Sun May 23 09:06:51 GMT 2021","Sun May 23 09:06:51 GMT 2021","11","src.sw.allotmentclub.browser.tests","test_postmark_webhook","","","","test__mail__postmark_webhook_1","It saves the open status when messages opens."
"passed","Sun May 23 09:06:55 GMT 2021","Sun May 23 09:06:56 GMT 2021","363","src.sw.allotmentclub.browser.tests","test_protocol","","","","test_displays_list_of_protocol_details",""
"passed","Sun May 23 09:06:10 GMT 2021","Sun May 23 09:06:10 GMT 2021","125","src.sw.allotmentclub.alembic.versions","add_attachments_to_parcels_9af3776b0ea9","","","","src/sw/allotmentclub/alembic/versions/add_attachments_to_parcels_9af3776b0ea9.py",""
"passed","Sun May 23 09:06:10 GMT 2021","Sun May 23 09:06:11 GMT 2021","125","src.sw.allotmentclub.alembic.versions","add_date_and_user_to_message_attachments_f4b90b599d2a","","","","src/sw/allotmentclub/alembic/versions/add_date_and_user_to_message_attachments_f4b90b599d2a.py",""
"passed","Sun May 23 09:06:12 GMT 2021","Sun May 23 09:06:12 GMT 2021","138","src.sw.allotmentclub.alembic.versions","add_message_attachment_38a169e80b6e","","","","src/sw/allotmentclub/alembic/versions/add_message_attachment_38a169e80b6e.py",""
"passed","Sun May 23 09:06:08 GMT 2021","Sun May 23 09:06:08 GMT 2021","142","src.sw.allotmentclub","assignment","","","","assignment.py",""
